time: 2022-09-06 23:44:47,314, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:04:00,912, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:04:00,912, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:04:00,912, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:05:12,460, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:05:12,460, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:05:12,461, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:06:02,970, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:06:02,971, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:06:02,971, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:08:19,874, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:08:19,875, function: __init__, module: log_helper, message: DataClean method added! 

time: 2022-09-07 00:08:19,875, function: __init__, module: log_helper, message: DataClean method added! 

